ID;Company;Article Title;Original URL;Valid?;Human Validated URL;Master URL for HTML;Source;valid article and URL
1;Alleanza Assicurazioni;"Claudia Ghinfanti (Alleanza Ass.): ""In atto un grande Trasferimento di Competenze dalla Rete ai Clienti""";https://pltv.it/tv/reportage/claudia-ghinfanti-alleanza-ass-in-atto-un-grande-trasferimento-di-competenze-dalla-rete-ai-clienti&ved=2ahUKEwjVgquez9aLAxWm2QIHHRfLCEUQxfQBegQIARAC&usg=AOvVaw3-VB1_4sywiOfJZ1JY3FhX;No;https://www.pltv.it/tv/reportage/claudia-ghinfanti-alleanza-ass-in-atto-un-grande-trasferimento-di-competenze-dalla-rete-ai-clienti;https://www.pltv.it/tv/reportage/claudia-ghinfanti-alleanza-ass-in-atto-un-grande-trasferimento-di-competenze-dalla-rete-ai-clienti;Human;1
2;Alleanza Assicurazioni;Alleanza Assicurazioni: dalla convention le prioritA  strategiche per crescere;https://wallstreetitalia.com/alleanza-assicurazioni-dalla-convention-le-priorita-strategiche-per-crescere/&ved=2ahUKEwjVgquez9aLAxWm2QIHHRfLCEUQxfQBegQIABAC&usg=AOvVaw1A1OsPYC61ymEpOiXlSEOl;No;https://www.wallstreetitalia.com/alleanza-assicurazioni-dalla-convention-le-priorita-strategiche-per-crescere/;https://www.wallstreetitalia.com/alleanza-assicurazioni-dalla-convention-le-priorita-strategiche-per-crescere/;Human;1
3;Alleanza Assicurazioni;Alleanza Assicurazioni: i numeri del aPatto per la crescita sostenibilea tra nuove competenze finanziarie e IA;http://msn.com/it-it/money/notizie/alleanza-assicurazioni-i-numeri-del-patto-per-la-crescita-sostenibile-tra-nuove-competenze-finanziarie-e-ia/ar-AA1yxe1I%3Focid%3Dfinance-verthp-feeds%26apiversion%3Dv2%26noservercache%3D1%26domshim%3D1%26renderwebcomponents%3D1%26wcseo%3D1%26batchservertelemetry%3D1%26noservertelemetry%3D1&ved=2ahUKEwjVgquez9aLAxWm2QIHHRfLCEUQxfQBegQIAhAC&usg=AOvVaw3b7LqOVNSKAWTezvkGRN6r;Yes;https://www.msn.com/it-it/money/notizie/alleanza-assicurazioni-i-numeri-del-patto-per-la-crescita-sostenibile-tra-nuove-competenze-finanziarie-e-ia/ar-AA1yxe1I;https://www.msn.com/it-it/money/notizie/alleanza-assicurazioni-i-numeri-del-patto-per-la-crescita-sostenibile-tra-nuove-competenze-finanziarie-e-ia/ar-AA1yxe1I;Human;1
4;Alleanza Assicurazioni;Alleanza Assicurazioni le prioritA  | soddisfazione cliente e leadership su protezione e risparmio;https://zazoom.it/2025-02-06/alleanza-assicurazioni-le-priorita-soddisfazione-cliente-e-leadership-su-protezione-e-risparmio/16328243/&ved=2ahUKEwjVgquez9aLAxWm2QIHHRfLCEUQxfQBegQIBBAC&usg=AOvVaw0nq7JtnxWyo_8Rz-Q9CQ8P;Yes;https://www.adnkronos.com/economia/alleanza-assicurazioni-le-priorita-soddisfazione-cliente-e-leadership-su-protezione-e-risparmio_772oMHPPeh3kQ0HUbU7ZG6;https://www.adnkronos.com/economia/alleanza-assicurazioni-le-priorita-soddisfazione-cliente-e-leadership-su-protezione-e-risparmio_772oMHPPeh3kQ0HUbU7ZG6;Human;1
5;Alleanza Assicurazioni;Alleanza Assicurazioni, completato 'Patto per la crescita sostenibile': crescita soddisfazione cliente, leadership su protezione, risparmio e investimenti;https://ilgiornaleditalia.it/news/mondo-imprese/680796/alleanza-assicurazioni-patto-crescita-sostenibile.html&ved=2ahUKEwjVgquez9aLAxWm2QIHHRfLCEUQxfQBegQIAxAC&usg=AOvVaw2TbMGU9XGQGi7YOf9vsaXY;No;https://www.ilgiornaleditalia.it/news/mondo-imprese/680796/alleanza-assicurazioni-patto-crescita-sostenibile.html;https://www.ilgiornaleditalia.it/news/mondo-imprese/680796/alleanza-assicurazioni-patto-crescita-sostenibile.html;Human;1
6;Alleanza Assicurazioni;ALLEANZA ASSICURAZIONI PRESENTA LE PRIORITAa STRATEGICHE;https://tuttointermediari.it/alleanza-assicurazioni-presenta-le-priorita-strategiche/&ved=2ahUKEwjVgquez9aLAxWm2QIHHRfLCEUQxfQBegQIBRAC&usg=AOvVaw2GOkUF1pmarnZq-DVHvVXi;No;https://finanza.lastampa.it/News/2025/02/06/alleanza-assicurazioni-passero-presenta-le-priorita-strategiche/MjAzXzIwMjUtMDItMDZfVExC;https://finanza.lastampa.it/News/2025/02/06/alleanza-assicurazioni-passero-presenta-le-priorita-strategiche/MjAzXzIwMjUtMDItMDZfVExC;Human;1
7;Unidea Assicurazioni;aLa nostra mission A  offrire il servizio migliore a famiglie e impreseaa;https://tusciaweb.eu/2024/12/la-nostra-mission-offrire-servizio-migliore-famiglie-imprese/&ved=2ahUKEwiM5Kahz9aLAxWr0AIHHakHCMkQxfQBegQICRAC&usg=AOvVaw2qU8oySMBkCMWY5HloigFO;No;https://www.tusciaweb.eu/2024/12/la-nostra-mission-offrire-servizio-migliore-famiglie-imprese/#google_vignette;https://www.tusciaweb.eu/2024/12/la-nostra-mission-offrire-servizio-migliore-famiglie-imprese/#google_vignette;Human;1
8;Unidea Assicurazioni;Sboccia Unidea Assicurazioni - La Voce di Rovigo;https://polesine24.it/cronaca/2024/12/14/news/sboccia-unidea-assicurazioni-305591/&ved=2ahUKEwiM5Kahz9aLAxWr0AIHHakHCMkQxfQBegQIAhAC&usg=AOvVaw37emEWMenxQiciXP_zu_tU;No;https://www.polesine24.it/cronaca/2024/12/14/news/sboccia-unidea-assicurazioni-305591/?id=0;https://www.polesine24.it/cronaca/2024/12/14/news/sboccia-unidea-assicurazioni-305591/?id=0;Human;1
9;Unidea Assicurazioni;Modica. Occupiamoci diaripartono le Assemblee ed A  boom di partecipanti;https://radiortm.it/2024/12/05/modica-occupiamoci-diripartono-le-assemblee-ed-e-boom-di-partecipanti/&ved=2ahUKEwiM5Kahz9aLAxWr0AIHHakHCMkQxfQBegQIABAC&usg=AOvVaw1llUKuMHsvKW0sNX1GAVtS;No;NO;;Human;0
10;Unidea Assicurazioni;Unidea Assicurazioni, un Open day per chi cerca una carriera di successo;https://aostasera.it/notizie/pubbliredazionali/unidea-assicurazioni-un-open-day-per-chi-cerca-una-carriera-di-successo/&ved=2ahUKEwiM5Kahz9aLAxWr0AIHHakHCMkQxfQBegQIAxAC&usg=AOvVaw3Fsx3KDR3PCkCHDnt84JYo;No;https://aostasera.it/notizie/pubbliredazionali/unidea-assicurazioni-un-open-day-per-chi-cerca-una-carriera-di-successo/;https://aostasera.it/notizie/pubbliredazionali/unidea-assicurazioni-un-open-day-per-chi-cerca-una-carriera-di-successo/;Human;1
11;Unidea Assicurazioni;Taglio del nastro a Unidea Assicurazioni. Punto di convergenza di venti compagnie;https://lanazione.it/lucca/cronaca/taglio-del-nastro-a-unidea-assicurazioni-punto-di-convergenza-di-venti-compagnie-68a0741b&ved=2ahUKEwiM5Kahz9aLAxWr0AIHHakHCMkQxfQBegQIBxAC&usg=AOvVaw3OSWXALrZxMGXSgV634tbc;No;https://www.lanazione.it/lucca/cronaca/taglio-del-nastro-a-unidea-assicurazioni-punto-di-convergenza-di-venti-compagnie-68a0741b;https://www.lanazione.it/lucca/cronaca/taglio-del-nastro-a-unidea-assicurazioni-punto-di-convergenza-di-venti-compagnie-68a0741b;Human;1
12;Unidea Assicurazioni;Con Unidea Assicurazioni e Broker servizi e prodotti su misura per il cliente;https://aostasera.it/notizie/pubbliredazionali/con-unidea-assicurazioni-e-broker-servizi-e-prodotti-su-misura-per-il-cliente/&ved=2ahUKEwiM5Kahz9aLAxWr0AIHHakHCMkQxfQBegQIBBAC&usg=AOvVaw0G603QDGsIZIioMipoQrGE;No;https://aostasera.it/notizie/pubbliredazionali/con-unidea-assicurazioni-e-broker-servizi-e-prodotti-su-misura-per-il-cliente/;https://aostasera.it/notizie/pubbliredazionali/con-unidea-assicurazioni-e-broker-servizi-e-prodotti-su-misura-per-il-cliente/;Human;1
13;Vita Nuova;Vita Nuova Assicurazioni lancia nuova polizza innovativa;https://alleanza.it/news/vita-nuova-polizza-2024;Yes;no;;Human;0
14;Vita Nuova;Vita Nuova espande la rete di agenzie in Italia;https://alleanza.it/news/vita-nuova-espansione-2024;Yes;no;;Human;0
15;Vita Nuova;Risultati positivi per Vita Nuova Assicurazioni nel 2024;https://alleanza.it/news/vita-nuova-risultati-2024;Yes;no;;Human;0
16;Vita Nuova;Vitanuova Acquisisce Axieme, Nasce il Principale Broker ...;;NEW;https://www.pltv.it/news-assicurazioni/vitanuova-acquisisce-axieme-nasce-il-principale-broker-assicurativo-phygital-italiano;https://www.pltv.it/news-assicurazioni/vitanuova-acquisisce-axieme-nasce-il-principale-broker-assicurativo-phygital-italiano;Human;1
17;Vita Nuova;Vitanuova: un Ottimo 2022. Il 29% del Capitale e detenuto dalla Rete;;NEW;https://www.pltv.it/news-assicurazioni/vita-nuova-un-ottimo-2022-il-29-del-capitale-e-detenuto-dalla-rete;https://www.pltv.it/news-assicurazioni/vita-nuova-un-ottimo-2022-il-29-del-capitale-e-detenuto-dalla-rete;Human;1
18;Alleanza Assicurazioni;Alleanza Assicurazioni: dalla convention le priorita strategiche per crescere;https://www.wallstreetitalia.com/alleanza-assicurazioni-dalla-convention-le-priorita-strategiche-per-crescere;Yes;;https://www.wallstreetitalia.com/alleanza-assicurazioni-dalla-convention-le-priorita-strategiche-per-crescere;Claude;1
